INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
ASU,69,"AUG 01, 1998","Librarian AC, Other",49507.00,Library,Adjunct Assistant Professor
ASU,63,"AUG 24, 1998","Librarian AC, Other",23558.00,Library,Adjunct Assistant Professor
ASU,47,"JAN 16, 2018",Lecturer,47000.00,Sustainable Technlgy & Built Envirn,Adjunct Instructor
ASU,41,"DEC 01, 2004",Lecturer,36000.00,English,Lecturer
ASU,59,"MAY 23, 2005",Food Prep Worker,31200.00,Sanford Commons,Food Service Technician
ASU,37,"AUG 26, 2011",Assistant Professor,68945.00,Psychology,Assistant Professor
ASU,42,"JUL 18, 2012","Student Activities Professional, Student Activities Assistant Director",53542.00,Campus Activities,"Asst Dir, Org Leadership"
ASU,54,"JUL 31, 2001",Nursing Professional,51504.00,Health Services,Professional Nurse
ASU,50,"AUG 01, 2005","Administrative / Office / Clerical Support Staff, Other",35484.00,School Of Music,Administrative Support Spec
ASU,40,"APR 16, 2018",Chief Budget Officer,110000.00,University Budget,University Budget Director
ASU,52,"JAN 01, 2004",Lecturer,38563.00,English,Senior Lecturer
ASU,64,"AUG 20, 1981",Professor,106148,Theatre & Dance,Professor
ASU,54,"AUG 19, 2019",Assistant Professor,61500.00,Communication,Senior Lecturer
ASU,37,"JUN 05, 2018",Administrative Assistant,41500.00,Student Learning Center,University Program Associate
ASU,34,"AUG 22, 2017",Assistant Professor,62000.00,Curriculum & Instruction,Assistant Professor
ASU,53,"AUG 13, 2018",Administrative Assistant,26000.00,ASU/RCOE Lab School,Administrative Support Assoc
ASU,40,"AUG 21, 2007","Laboratory Professional, Ag Research Operations, Lab Coordinator",53454.00,Art,Research Operations Manager
ASU,44,"AUG 15, 2019",Administrative Assistant,40159.00,College of Education,University Program Associate
ASU,43,"AUG 17, 2020",Assistant Professor,55500.00,Art,Visiting Assistant Professor
ASU,58,"SEP 30, 2019",Accounting Assistant,43185.00,College Access Partnerships,Accounting Technician
ASU,51,"AUG 24, 2010",Associate Professor,77814.00,Biology,Associate Prof/Assistant Chair
ASU,41,"MAR 19, 2001",Food Prep Worker,31200.00,Catering,Food Service Technician
ASU,45,"AUG 25, 2009",Professor,127344.00,Marketing & Supply Chain Mgmt (SCM),Associate Professor
ASU,43,"MAY 01, 2014",Boilermaker,34081.00,Steam Systems,Utilities Plant Operator
ASU,26,"AUG 17, 2012",IT Client Support Professional,52289.00,Information Technology Service,Technology Support Analyst
ASU,45,"OCT 11, 2013",Administrative Assistant,23601.00,Health Services,Administrative Support Assoc
ASU,53,"JAN 22, 2018",Administrative Assistant,47845.00,University Sustainability,University Program Specialist
ASU,59,"SEP 14, 2020",Painter (Journeyman),34735.00,Paint Shop,Facility Maint Tech - Building
ASU,67,"AUG 12, 2014",Lecturer,46500.00,Computer Information Systems,Lecturer
ASU,54,"AUG 25, 2009",Associate Professor,71000.00,Social Work,Associate Professor
ASU,25,"JUL 02, 2018",Motor Vehicle Operator,33636.00,Landscape Services,Vehicle-Equip Operator
ASU,58,"JAN 01, 2004",IT Client Support Professional,54447.00,Library-Instruction,Technology Support Technician
ASU,63,"AUG 15, 1990",Professor,76123.00,Physics & Astronomy,Professor
ASU,44,"APR 18, 2014",Athletics Professional,70000.00,Athletics Office,Special Asst to Head Coach
ASU,60,"AUG 26, 2008",Lecturer,30825.00,Art,Lecturer
ASU,31,"FEB 03, 2020","Student Admissions / Recruitment Professional, Admissions Counselor",38500.00,Admissions,"Asst Dir, Admissions"
ASU,33,"NOV 19, 2018",IT Client Support Professional,45269.00,Learning Technology Services,Technology Support Technician
ASU,30,"AUG 21, 2018",Instructor,87780.00,Department of Nursing,Clinical Instructor
ASU,55,"NOV 12, 2002",Lecturer,30000.00,University College,Adjunct Instructor
ASU,53,"AUG 30, 2007",Housekeeping Lead/Supervisor,35184.00,Environmental Services,Building & Environmental Supv
ASU,32,"JUL 01, 2018",Administrative Assistant,26000.00,ASU/RCOE Lab School,Administrative Support Assoc
ASU,77,"AUG 15, 1989",Professor,83698.00,School Of Music,Professor
ASU,51,"MAY 19, 2005","Academic Advising Professional, Advisor/Coordinator",37974.00,College of Arts and Sciences,Academic Advisor
ASU,34,"AUG 19, 2014",Associate Professor,69881.00,Physics & Astronomy,Associate Professor
ASU,57,"AUG 24, 2010",Associate Professor,63725.00,Philosophy & Religion,Associate Professor
ASU,26,"FEB 01, 2017","Laboratory Professional, Physical Sciences, Lab Coordinator",44000.00,Geography & Planning,GIS Lab Supervisor
ASU,48,"JUL 01, 2004","Facility Operation Professional, Child Care Site Director",68695.00,Lucy Brock Child Dev Lab Prog,"Adm Dir, Lucy Brock Child Dev"
