listing_id,neighborhood,room_type,stay_nights
84810,Manhattan,Entire home,4.22
97530,Manhattan,Private room,4.9
72482,Manhattan,Private room,4.37
31495,Staten Island,Private room,3.68
74563,Brooklyn,Private room,2.87
59878,Staten Island,Entire home,2.01
1851,Brooklyn,Private room,2.88
45118,Manhattan,Entire home,5.73
13676,Queens,Private room,1
96647,Bronx,Private room,1.3
50615,Manhattan,Private room,4.83
48400,Staten Island,Entire home,1.45
10116,Manhattan,Private room,4.34
31512,Manhattan,Entire home,1
60429,Queens,Entire home,2.21
92988,Manhattan,Private room,5.85
23431,Staten Island,Private room,4.51
84886,Staten Island,Entire home,6.59
43504,Manhattan,Entire home,6.63
36093,Manhattan,Entire home,4.94
75341,Queens,Entire home,1
85259,Bronx,Entire home,4.53
19301,Brooklyn,Private room,1
57155,Staten Island,Entire home,3.5
29746,Brooklyn,Private room,4.02
15371,Brooklyn,Private room,3.84
90192,Bronx,Private room,1.48
62348,Staten Island,Entire home,6.73
73512,Manhattan,Private room,6.63
99419,Queens,Private room,6.24
45587,Manhattan,Entire home,4.61
95646,Queens,Shared room,2.6
24416,Staten Island,Shared room,3.37
84748,Staten Island,Private room,2.28
21032,Queens,Private room,1
70514,Manhattan,Private room,2.65
65042,Manhattan,Entire home,1
41306,Brooklyn,Entire home,10.01
75364,Manhattan,Entire home,3.56
70822,Brooklyn,Entire home,4.58
63296,Staten Island,Entire home,1.14
28760,Staten Island,Private room,3.03
91422,Brooklyn,Private room,1.1
49944,Bronx,Private room,5.27
60177,Manhattan,Entire home,4.97
73603,Brooklyn,Private room,3.66
1942,Manhattan,Private room,4.2
5117,Queens,Entire home,4.84
32195,Queens,Private room,3.74
75847,Staten Island,Entire home,5.8
62993,Bronx,Entire home,6.68
56519,Bronx,Entire home,6.02
96561,Manhattan,Private room,4.41
53772,Queens,Private room,3.41
15322,Brooklyn,Entire home,3.16
25050,Queens,Entire home,4.19
10880,Bronx,Private room,4.06
86477,Staten Island,Private room,2.79
13224,Brooklyn,Entire home,2.77
53565,Manhattan,Entire home,4.66
1282,Bronx,Entire home,5.09
56444,Staten Island,Private room,1.35
64788,Brooklyn,Entire home,4.67
97434,Staten Island,Entire home,5.35
42104,Manhattan,Entire home,1
70615,Brooklyn,Entire home,5.32
67562,Manhattan,Private room,4.18
31828,Bronx,Entire home,4.89
75668,Brooklyn,Private room,4.3
87163,Staten Island,Private room,3.7
42467,Queens,Entire home,4.11
52876,Brooklyn,Private room,2.06
40321,Bronx,Entire home,4.51
61068,Staten Island,Shared room,1.92
14104,Manhattan,Private room,2.43
46745,Manhattan,Private room,3.46
49434,Queens,Entire home,6.46
81173,Staten Island,Entire home,1.13
73692,Queens,Shared room,4.95
35664,Manhattan,Private room,5.99
98310,Staten Island,Entire home,4.16
45942,Brooklyn,Private room,4.85
35600,Staten Island,Entire home,8.51
13097,Bronx,Private room,1.33
6778,Manhattan,Entire home,9.25
22178,Bronx,Private room,7.59
57057,Staten Island,Entire home,9.11
20536,Staten Island,Entire home,6.86
49393,Staten Island,Private room,2.97
48795,Manhattan,Private room,3.75
28535,Brooklyn,Private room,1.95
54264,Staten Island,Private room,5.54
32029,Brooklyn,Shared room,3.65
4248,Brooklyn,Private room,1
44540,Bronx,Private room,5.9
35970,Brooklyn,Private room,1
15168,Bronx,Private room,4.39
