listing_id,arrondissement,room_type,stay_nights
6053,10e,Private room,7.07
89034,4e,Entire home,9.57
66309,20e,Entire home,3.42
72694,14e,Entire home,7.89
8565,4e,Private room,4.04
68165,16e,Entire home,7.6
51705,20e,Shared room,3.33
9327,2e,Entire home,8.7
25460,2e,Private room,3.2
69452,20e,Entire home,13.53
77595,2e,Entire home,2.09
95816,11e,Entire home,2.21
88046,15e,Entire home,10.03
7566,19e,Entire home,1.53
96458,6e,Private room,13.59
87855,4e,Entire home,11.24
96495,12e,Private room,12.56
79887,3e,Entire home,8.84
85536,3e,Private room,4.54
41307,4e,Private room,1.11
56672,15e,Entire home,7.5
17294,5e,Private room,6.13
45255,4e,Private room,1
93146,15e,Private room,5.08
51540,3e,Private room,6.7
89120,13e,Entire home,7.81
76449,13e,Entire home,1
43906,13e,Entire home,2.51
25353,18e,Entire home,9.06
7697,8e,Shared room,1
30089,12e,Entire home,7.22
52006,8e,Entire home,9.87
66720,2e,Entire home,13.37
67956,17e,Private room,5.89
15619,19e,Entire home,7.22
52262,5e,Entire home,10.25
15208,8e,Entire home,4.82
56718,4e,Entire home,4.87
50300,4e,Entire home,6.37
76451,5e,Private room,6.6
27174,8e,Entire home,5.88
36819,3e,Entire home,11.89
45518,5e,Entire home,8.88
84935,5e,Entire home,6.65
88615,15e,Entire home,2.73
99595,18e,Entire home,6.95
72989,20e,Entire home,1
10238,7e,Private room,7.23
92687,5e,Private room,6.42
84600,3e,Private room,5.22
86533,8e,Entire home,8.52
68710,2e,Entire home,12.38
64704,15e,Entire home,10.07
91965,9e,Entire home,8.02
16002,11e,Entire home,2.46
92521,15e,Entire home,11.1
28623,8e,Private room,6.05
57954,8e,Private room,7.31
39488,17e,Private room,7.42
18150,5e,Entire home,5.55
24405,19e,Entire home,5.96
66511,13e,Private room,3.11
25409,9e,Private room,8.91
48531,5e,Entire home,10.08
58099,10e,Entire home,8.06
75815,17e,Entire home,6.36
50289,19e,Entire home,2.68
85972,4e,Entire home,7.5
95057,16e,Entire home,7.98
95757,7e,Entire home,7.27
12489,18e,Entire home,7.85
1926,3e,Entire home,8.3
6624,3e,Private room,5.98
83397,12e,Entire home,4.57
17100,14e,Entire home,11.9
29708,4e,Private room,5.33
81479,7e,Entire home,6.65
15540,4e,Entire home,5.52
10466,20e,Private room,2.32
87136,8e,Entire home,1
53145,20e,Entire home,9.21
65391,19e,Entire home,11.31
83297,14e,Private room,1.12
27734,15e,Entire home,7.68
64555,1e,Entire home,8.09
76835,6e,Private room,2.07
15722,3e,Entire home,4.76
83461,9e,Shared room,3.75
86893,17e,Private room,2.23
2446,8e,Entire home,9.02
